,Outcome 1,Outcome 2,Outcome 3,Outcome 4,Outcome 5,Outcome 6,Outcome 7,Outcome 8,Outcome 9,Outcome 10,Outcome 11,Outcome 12,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61,PC 62,PC 63,PC 64,PC 65,PC 66,PC 67,PC 68,PC 69,PC 70,PC 71,PC 72,PC 73,PC 74,PC 75,PC 76,PC 77,PC 78,PC 79,PC 80,PC 81,PC 82,PC 83,PC 84,PC 85,PC 86,PC 87,PC 88,PC 89,PC 90,PC 91,PC 92,PC 93,PC 94,PC 95,PC 96
0,10000.0,6000.0,3000.0,2000.0,2000.0,2000.0,2000.0,500.0,500.0,2000.0,500.0,500.0,1.5400718504371231,0.38138090778909106,1.5769042289586594,1.52256006921555,2.8072286778547966,2.117230859090925,2.1906668593889123,2.5299403590634144,2.5404012144656445,1.0605771085098747,1.3379818553575284,2.950257394576167,2.958266379549309,2.2654605063152156,1.9935251135152374,2.3397635364116347,2.5888436551593625,2.211301741827032,2.2975923790194868,2.2262804953654562,2.9726722265710843,2.7893973908379044,2.654443065973829,2.678395216320539,2.5685044688729852,2.638464192878221,1.7426952724963116,2.5570327446550007,2.2560389967008865,2.1704836058105172,2.6613051647295065,2.7970880551849002,2.331525920841193,2.589826559043785,2.620870710950501,2.4351363170553304,2.184241077901442,2.1668584534625763,2.2101779192276165,2.0547729942153357,2.902032061970733,2.3505270755567906,2.1466399099016806,2.222426196645846,2.527786236478782,2.3705892648268025,2.6114805817717044,2.548070342871092,2.623864458487392,2.5095481530845025,2.4346554970230314,2.3086595072108613,2.4024677915226214,2.266575028811025,1.9417408041702946,1.8059247266482048,1.934115947912888,2.2543729553175593,2.4835222839503417,2.2375905305742347,2.8128075160129686,2.189931843664129,1.898851301196356,2.6888375978719017,2.629115692170619,2.5623733809441163,2.41880538254257,2.4562074443305275,2.2504286599634966,2.425348013258891,2.5157726415954023,2.010145790330793,2.1062562013729593,2.201275531158464,2.5316782829383895,2.5871289156790134,2.1864832334750584,2.4940282495336232,2.56664045764101,2.4490424538241995,2.413384954106863,2.1380645061577597,2.3961227110082968,2.5831316477673405,2.53912306822489,2.3495214469550127,2.173628684219284,2.3733444122321568,2.406159132307365,2.294986525793217,2.1247370418381992,2.4540513402266098,2.221442130050069,2.090058728339363,2.3583491618971375,2.289066225218622
1,2000.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1.8054377416209346,2.4877674411441895,1.0049345661519076,1.4022959124004584,2.4828695421270783,3.1479760802127443,3.4383929715624473,0.7062803761172827,1.1437070400612457,2.3479074725054567,1.7491516207293607,2.476205631378918,2.2139509374989315,1.2873255899077334,2.863272831287771,2.561961189370969,2.614055247396667,2.4798692660793265,2.406025775829831,1.9212270426452625,2.332496156047896,2.3627126737836353,2.6452932514398024,1.593443029957962,2.3396021416147676,2.328565458937199,3.170816981936367,2.0418455006376663,1.6226288910769906,1.4667780682184903,2.3245885564787443,2.993789517303927,2.5626606587975718,2.5018269159416677,1.6839755147213045,2.60586981474559,2.7545347464356538,2.3410064974311835,2.7909620386910263,2.3203303719983843,2.3799044156713536,2.449541220149762,2.6373991823867113,2.26907350178571,1.6842064619356345,2.3251572901158495,1.9889176703571545,2.634004450438636,2.077456902061211,2.452137080266541,2.2976797890542726,1.9435321264675096,1.8176781872330952,2.461231777787028,1.80228728086803,2.072846682081822,1.9091127927878964,2.6709119460927244,3.2140387137766546,2.4836534725180734,1.736250893798175,2.5888828197237186,2.3475924108494106,2.2866010670579313,2.2208279162917104,2.325483228974705,2.169291218343841,2.5352604908592262,2.6676344034830635,2.655216069119476,1.906984923037631,2.978712167647766,2.540914835030316,2.81470378714467,2.5137374654119773,2.8991514087503396,2.3466277421873083,3.099654854575159,2.1373066013049264,2.502501887691456,2.5159235709450254,3.12873160163291,1.8757112292822617,2.694576765269344,2.0918815273772577,2.4315934395483243,2.169508188460906,2.456857989980855,2.1836693361268193,2.1118631899299922,2.1462302186726445,2.448923144034887,1.892612080982306,2.5240930959741052,2.286550070458307,2.717051335304163
2,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1.460933755615522,2.4568427909968453,2.5386912326268405,1.0348480690153745,3.109900816635023,3.1630531672049567,3.409582125985197,1.6685102518212713,3.239782360442139,2.2792187152696877,1.814784761675258,2.6663666286603087,2.2237450383185813,3.2220990372513576,2.520426562293124,2.763437804589929,3.2510726978474374,2.0049063216490386,1.9072785660617575,2.517490932928783,2.1268996840571393,1.4893157187862802,2.248104221464931,2.147565863057847,2.8181369391848627,2.4347891833390154,2.6650817463613317,1.908489834475057,2.2932240678366607,2.4235920231565444,2.308656832351732,2.2035577507510786,1.198875431842985,2.3572790018468397,1.728547861022804,1.9451648995490913,2.001487476358053,2.6476255392781596,1.8875923407703123,2.8218777463438487,2.1778932152036328,2.645104896833951,2.6178122689585557,1.8194394878958149,2.259716383272279,2.4207975943164457,1.9147993503949343,2.140917600392844,2.218937572774179,2.193847451903223,2.5138274382837933,2.0855225929331223,2.347964890775581,2.190854442317876,1.9268813194209176,2.663163626651529,2.1587211539170865,2.1773739125702054,1.7567885346297252,2.1979941424370177,2.2583412528380675,2.1564369074500553,2.5689630269227868,2.5434022418467888,2.5091322350174927,2.4290380308262676,2.2283344369662386,2.332429256952713,2.3199830001085546,2.6843649392412425,2.3788374521768274,2.020457388356434,2.1535790728091966,1.7050518664810914,1.7256161091600402,3.1924384775628085,2.4392691274328016,2.4695172337960316,2.6927103165938027,2.7752988887386834,2.2778854805841733,2.1092650791614105,2.3845931921844503,2.024797342896568,2.0185515714088123,2.528911291876296,2.0024805370696845,2.5389991723068697,2.343252405803404,2.4532703651133576,2.5698441965174124,2.081713814140693,2.5134117041983672,2.506853221380718,2.612119868172323,2.071202841925381
3,5000.0,5000.0,6000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1.2499238661237122,4.253533469071504,3.4896771088306124,0.654536818637997,3.9400534706743633,2.5257267151479885,3.42070367662063,1.9455540192271636,2.3804630758535787,1.8099107938527415,3.550239013908554,2.6794699806742077,2.5833128933885985,1.755902271177228,1.8960549331823728,2.186980098682897,2.5913606116437125,2.020471565236904,0.9342206848094796,2.4737016682548725,2.4006303938799354,1.0493589316842151,2.7413526703160085,1.6450151053511255,1.9844931847499132,2.166486011280413,2.251459004188305,2.5989297310372925,1.9818017760655011,2.3687935230261785,1.896610517538034,2.4246598584399925,3.0610585507436556,1.9639009398521898,1.7077034491502938,1.305989591417742,2.251006199237665,2.0862112568466253,1.9100836766028715,2.1370204365604604,2.1074097746810017,2.998531925542848,1.6424289648091215,2.3271761604391,2.1271659979854634,2.998654814985785,2.48183437393193,1.762818579768667,2.7873752314179274,2.187054230115128,2.481339282676593,2.2628962128704995,3.0670841347174678,1.960099988801122,1.8123307659571029,2.177666571537808,2.4992069305297564,2.554357587652371,2.43487025740086,2.6422410981866866,2.438103586819871,2.5804330789080723,1.625560789195223,1.912224388037973,2.168057858357427,2.1739226185213667,2.42405445444056,2.88231514109755,2.66757252228112,2.4631708258336396,1.9995206679620297,2.1076885235211127,2.928603294595601,2.433987159027436,1.9129364832448505,2.2427612317818197,2.8727678544431963,2.323080227604928,2.244257799687237,2.2287848512187867,2.2457600348308246,2.6440838467159558,2.9976295874136767,2.3203026382691663,2.2349274520402256,2.3906610670767856,2.177115423090545,2.5934853934666116,2.558790140129045,2.7775770494653154,2.537193578291416,2.245560648736373,2.302733941885618,2.1007674522472017,2.089549235104759,2.223519355225777
4,5000.0,10000.0,15000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2.0612456116480744,3.16512990164116,0.9170014480760456,3.0441137805626783,1.444480349343296,5.375254678592466,1.1417213733982285,1.8264076509650577,2.8547857537859427,2.0890126872422625,2.749717921602881,2.698066378307361,1.527364575802713,2.897725617851172,1.5648731356400223,3.081369814797101,2.552216367973394,2.8724858518570637,2.043119000873842,2.2924368048324255,2.2865046156757587,2.1767483665524683,2.7738346813830663,2.880547850366158,2.7179676239325796,2.1204272729447524,2.2483362224987777,2.8563196689248365,1.8186656585986425,2.8119704971925503,2.578402101895862,2.3431013768232365,2.779776666353467,2.197004063233177,2.115491833843862,2.2114350189402345,2.242735797213182,2.4303896730796817,2.0021958198991863,3.019738933225749,1.7322455684463804,2.364476636252087,2.6147523900715113,1.8272696064868257,2.4502839165243597,2.50710803638067,1.9282459477427236,2.482511138254903,2.0037695793673915,2.5261340109756785,2.1921277359624347,2.2247887594732507,2.21266824360831,1.9834832108899125,2.2480057745473148,2.3683454314179686,1.9295407304917087,1.7608050120186285,2.384034482262278,2.565761780062768,2.3554647474652928,2.10764514906122,2.391529138211604,2.1395680617264254,2.01707066139067,2.6407834286413876,1.8065975090355955,2.530753449417976,2.195074054572504,2.810960895254816,2.149473473570626,1.9155357537592836,2.353259484510483,2.6036474975801713,2.3488456336005434,2.102725317911811,1.9337788890318945,2.1910087122385913,2.4459654064053145,2.4735060223127086,2.388075012452377,2.1050539869790237,2.4178938666105987,2.363766091916126,2.2611947547605364,2.677855016004082,2.2968418417700844,2.663693617843322,2.0406556987239486,2.542514798273007,2.3132023256787897,2.783313341151101,2.3080185607194394,2.2241431707025967,2.0650541276501357,2.5420451368544414
5,2000.0,2000.0,3000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,3.512555203745018,2.2113490784836034,1.7178629581041847,3.1427815212437946,1.7481988962013277,2.753937604137593,2.6510340065899642,2.6180278417594223,1.7849258172313016,2.749194184525481,2.254825622933723,1.8785479452635785,3.246460053166435,1.7575554109360394,2.316856630141976,1.4599292482068116,2.5714528897103834,2.310915696591862,1.4827173932041462,2.2472218197859157,2.1936408894929094,1.6969786112637617,1.8618904888738979,2.319709814071172,2.661464474845009,2.6082859557423523,1.9421291654072885,3.1557459793614173,2.7485976827613765,2.1193024612793554,2.409630210101167,2.370691333280183,2.1975503915923933,2.887057629555521,2.3348765227447865,2.1010332144412818,2.1575606941894376,2.2998757219561488,2.0660112633782837,2.3151430031712548,2.8755060579167746,2.4449440015647506,2.400763007805449,2.887048239296987,2.671002297180407,2.465574158821633,2.621817697011859,2.6717464577334393,2.2302714557251324,2.045265178362027,2.2157504735526077,2.047814950851815,2.2042026926476237,2.0599818684909046,2.214801634909172,2.4003904614277247,2.460672178434692,2.4969649613456175,2.7601809893721256,1.958493829378138,2.300997009517263,2.179068180400843,1.8695559248540297,2.0755747002014013,2.1509699337953907,2.773936483622416,2.1316261112107653,2.3960224965110077,1.9086579388836522,2.6566898539710375,2.407734420526562,2.421044165135627,2.304983000068773,2.507931697228966,2.1430651705074517,2.038014281129033,2.286665645493656,2.3104594500280915,2.4328147035628853,2.5464777744941216,2.25278034938815,2.258931421739598,2.122055643131949,2.5088563063940983,2.2573032654966516,2.3649235845773013,1.978052803679212,2.336611710996278,2.5403185631919216,2.3825309401275128,1.8361616457778722,2.324175552581062,2.4803305112492353,2.249568865563104,2.2198205511625755,2.485110479959012
6,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,2.1120178818246838,1.772947125557589,0.7272259001411625,1.5071748999962495,2.6736306318417373,2.6174815141185217,2.8370009547420745,2.001606116041032,2.3877890538126816,2.714859568415261,1.4513994279516198,2.514997118628335,2.8999332027409874,1.6084773347896721,2.451564007779491,2.1904618657137642,2.3726773941950006,2.330899355914184,2.4735229996433423,2.3466341935055417,2.4861905720523163,2.25146082775787,2.833309194705504,1.8430538563774457,2.4767130342145096,2.7577463098701966,2.068963439479916,2.0468002317164746,1.9470778360925602,2.4114201522599847,2.8436133535311408,2.2034087955405037,2.2825735601013637,2.7960298866287814,2.2960585964583546,2.17557064952632,2.8610490805197086,2.72433174723938,2.01218719132062,2.433696900989837,2.7206984514503514,2.291137563232817,2.2238977018124317,1.8770266630869268,2.482435165068375,2.581952532147511,2.257423229127507,2.1771215429232473,2.1088348904101437,2.3794387321809274,2.3469464079314095,2.452123113709236,2.1712338094278247,2.3881061612437864,2.733273179100308,2.335757394359263,2.1686168858297257,2.5457778766203925,2.5254701871328353,2.196480823559173,2.800588971730727,2.4698873910353223,2.1105644730830835,2.3559711512230006,2.3840709515098673,2.340850106147617,2.5234029180076565,2.3123437481787823,2.4867257575925907,2.240638434501452,2.4829297388482043,2.23107903014853,2.5398663279090687,2.119450353357325,2.4089637909506294,2.1587671987617516,2.431920057242741,2.498477856769929,2.2341042246462353,2.118440781010027,2.453650490837748,2.3204026902777035,2.315426731049169,2.091881227530758,2.475284594536112,2.054985684115035,2.070569701049368,2.316914918821235,2.198148926976061,2.299010477239436,2.6132066071313242,2.3425253693157,2.4069029839154266,2.5446940609447672,2.445467119976495,2.186140230662669
7,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1.2386561594307324,2.4541409955332734,1.7044160887414512,2.713733011537738,0.7848104434901546,2.6530182674753413,2.775926375118577,2.708186290559442,2.733790961447968,2.648573193573014,2.367461229134099,1.8194993390613985,2.505248248234987,2.962695480279793,2.4443994645994183,2.6857681885778875,2.3307538025529717,1.8688358209940559,2.0473411547474383,2.5900833620676638,2.4412137895378088,3.306909317415353,2.350485027443984,2.4797132264358863,2.2369863599637747,2.607628317723076,1.8188039670830318,2.6581622534903793,1.828803712562351,2.2560023138831657,2.6526678841987863,2.7367216096194555,1.7665904678990403,1.6885835147219135,2.6808482674553322,2.5143544728807674,2.0688385633633826,2.4258954552836682,2.2105575865350175,2.2413887687672953,2.626370713316387,2.8573535077693983,2.028924748581079,2.7679253557581336,2.2232240252431272,2.231661941986052,1.6533605818922352,2.3761326401100638,2.13304857307752,2.5855631885842403,2.759763367347043,2.0644274920243086,2.384968540451406,2.2584588676351802,2.407238628445002,2.443161628217734,2.014296717937743,2.6016413950443917,2.59376977639612,2.709512175877117,2.7279356260478917,1.9416360989915833,1.961827249215454,2.257738904705485,2.5931993377057805,2.125371527236823,1.7831361154167364,1.8949257721445885,1.570359591730925,2.194543354064491,2.272366945712832,2.423427781641554,2.5026154012305537,1.9866856951976846,2.1699895206808386,2.255362888646693,2.6074651170300096,1.9966298804037679,2.3486823897032028,2.243059021998261,2.328947146708028,2.827897883507814,2.1360662068035428,2.1088100325787162,1.989603731392423,2.611548093166987,2.388668019138981,2.2279785286927836,2.1088580661625804,2.3980653509705596,2.6807418409746266,2.4927787020604373,2.2498369813329036,2.6467875554702953,2.2327368056043886,2.3499096596128877
8,3000.0,500.0,2000.0,500.0,500.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,1.947861142790431,2.4855462283264127,-0.0744499621660144,2.1414316632535373,2.2983353247946248,1.1319534315706588,2.4505418042230764,1.520475906213435,1.5648785377714327,2.505739204373225,2.38866669537593,2.3187232622055927,2.3755104126591235,1.876626597612821,2.505324113043449,1.9225945478229802,2.5514977950320694,2.5334102445024866,2.4955663892035287,1.7511679267127045,1.9431865129075467,2.44993466845519,2.956126400587543,2.151465109818606,2.523470815402898,2.8433867533488835,2.296556451695002,2.1054061098240076,1.8243570209419493,2.537581454022445,2.4970874045879845,2.183878318957891,2.403245225985153,2.8163494025829334,1.8250623087306845,2.0665434105287193,2.8571359558699996,2.434524666901532,2.3347688041660923,2.271205431105471,2.4580092285351016,2.2778356583538613,2.5196858299027074,2.0566083970761455,2.1792246368519024,2.6489732282283747,2.3954159722759756,2.324563226329445,2.464455735993592,2.1864631591320824,2.688301355428127,2.1184557123357495,1.7799160856412881,2.329513060269137,2.6448202723179564,2.5079159821465566,1.7941330509596374,2.5399484326392767,2.524153595935385,2.2573299016724757,2.566896456724087,2.2738860574787756,2.1258663921189145,2.5427224516343587,2.3993186958111035,2.1398634675220873,2.558588302852174,2.33947314808492,2.596433232035015,2.5911833387536256,2.452250041197493,1.994263304457214,2.3380765951381868,2.2933654295162986,2.037953074101323,2.3151239824266217,2.5218641585035857,2.3888581364193375,2.2420679165248765,2.4218609703454548,2.5016932590568133,2.151985105685873,2.5266384234007297,2.3257646135121215,2.624709552760307,2.212061624962436,2.0138064632025547,2.212850620830552,2.263728410038497,2.2436560347996535,2.4364848633215095,2.5731714500487426,2.5107965127352116,2.436143396327724,2.4147202468288027,2.2680031334607147
9,145000.0,27000.0,11000.0,19000.0,63000.0,10000.0,6000.0,3000.0,2000.0,2000.0,2000.0,2000.0,5.794737248842699,2.483682151980635,3.515799704261026,2.2508827050592695,1.5929485674966197,1.6460447839692052,2.031224396192542,2.21389314479134,2.370185558814608,2.7517978951226008,2.453781953773655,2.142333472866889,1.6641261690947564,2.328617499219358,2.1093006928192026,2.470783756969912,2.5131728152252553,2.1724658397691288,2.2413115400548964,2.201810019904261,2.448188484684267,2.294051512944601,2.44757424639447,2.3410716952553994,2.2460600509209625,2.4147480140254265,2.4295754839927928,2.3024552919043746,2.565868574533241,2.7359976007980995,2.925887406862209,2.461575376583801,2.297366888632965,2.468917755657101,2.348947577137611,2.38632816364037,1.9914953323885063,2.5329675955114426,2.673995962257676,2.0917461087707117,2.2472490274740395,2.2433626194261738,2.175980184108698,2.2599973514138743,2.3457123860501263,2.3144999875100947,2.2601301736236814,2.630632169565722,1.9911533555759613,2.671758672933904,2.094230237368771,2.0588199450656557,2.375295220431788,2.519892805573907,2.3626952160446164,2.348070935984922,2.1416118794139996,2.0324901701184297,2.4318487711370906,2.5296104923257845,2.4106168511360844,2.7554604290826124,2.2802824357922695,2.262398168597653,2.3886082403421827,2.042291151993169,2.583880781410047,2.283978015767847,2.5135856280922204,2.3271989098300234,2.7782486119437073,2.3667303858195003,2.4416556339005475,2.1725121094464264,2.163604640692834,2.322053131954856,2.49045514735272,2.545102123877735,2.056501953287593,2.353753341806556,2.24042399855158,2.591503964577084,2.046053873868706,2.5137040369440835,2.606911259885181,2.1179294338030936,2.317695476815391,2.076012587999763,2.3272496073114803,2.8082617097946683,2.391050483088993,2.341970328522769,2.362381344253799,1.9636267194587353,2.5583445259716964,2.128684711703543
